,player_id,player_name,dob,batting_hand,bowling_skill,country_name
56,256,Harmeet Singh,1992-07-09,Left-hand bat,Slow left-arm orthodox,India
57,250,B Sumanth,1988-10-05,Right-hand bat,Right-arm medium-fast,India
58,89,R Bhatia,1979-10-22,Right-hand bat,Right-arm medium-fast,India
59,91,VY Mahesh,1987-12-21,Right-hand bat,Right-arm medium-fast,India
60,106,AB Dinda,1984-03-25,Right-hand bat,Right-arm medium-fast,India
61,196,A Singh,1981-06-21,Right-hand bat,Right-arm medium-fast,India
62,99,D Kalyankrishna,1983-12-16,Right-hand bat,Right-arm medium-fast,India
63,424,Swapnil Singh,1991-01-22,Right-hand bat,Slow left-arm orthodox,India
64,291,L Ablish,1982-03-12,Right-hand bat,Right-arm medium-fast,India
65,437,Gagandeep Singh,1981-03-10,Right-hand bat,Right-arm medium-fast,India
66,59,SB Bangar,1972-11-10,Right-hand bat,Right-arm medium-fast,India
67,301,S Rana,1984-09-18,Right-hand bat,Right-arm medium-fast,India
68,467,RV Pawar,1979-06-09,Left-hand bat,Slow left-arm orthodox,India
69,290,I Malhotra,1984-05-23,Right-hand bat,Right-arm medium-fast,India
70,414,AD Nath,1993-10-05,Right-hand bat,Right-arm medium-fast,India
71,164,R Bishnoi,1987-08-10,Right-hand bat,Right-arm medium-fast,India
72,151,L Balaji,1981-09-27,Right-hand bat,Right-arm medium-fast,India
73,246,AN Ahmed,1988-05-11,Right-hand bat,Right-arm medium-fast,India
74,75,Pankaj Singh,1985-06-05,Right-hand bat,Right-arm medium-fast,India
75,78,VRV Singh,1984-09-17,Right-hand bat,Right-arm medium-fast,India
76,413,KH Pandya,1991-03-24,Left-hand bat,Slow left-arm orthodox,India
77,15,Z Khan,1978-07-10,Right-hand bat,Left-arm fast-medium,India
78,61,RP Singh,1985-06-12,Right-hand bat,Left-arm fast-medium,India
79,234,SJ Srivastava,1981-09-22,Right-hand bat,Left-arm fast-medium,India
80,215,YA Abdulla,1983-01-17,Left-hand bat,Left-arm fast-medium,India
81,83,M Kartik,1976-11-09,Left-hand bat,Slow left-arm orthodox,India
82,398,J Suchith,1994-01-16,Left-hand bat,Slow left-arm orthodox,India
83,213,A Uniyal,1981-11-21,Left-hand bat,Left-arm medium,India
84,374,AR Patel,1994-01-20,Left-hand bat,Slow left-arm orthodox,India
85,327,BB Samantray,1988-12-14,Right-hand bat,Right-arm medium,India
86,283,J Syed Mohammad,1983-03-06,Left-hand bat,Slow left-arm orthodox,India
87,228,Bipul Sharma,1983-09-28,Left-hand bat,Slow left-arm orthodox,India
88,286,AG Murtaza,1990-01-01,Left-hand bat,Slow left-arm orthodox,India
89,293,S Nadeem,1989-12-08,Right-hand bat,Slow left-arm orthodox,India
90,297,AA Chavan,1985-10-28,Left-hand bat,Slow left-arm orthodox,India
91,298,ND Doshi,1978-06-10,Right-hand bat,Slow left-arm orthodox,India
92,219,RS Gavaskar,1976-02-20,Left-hand bat,Slow left-arm orthodox,India
93,302,BA Bhatt,1990-05-13,Left-hand bat,Slow left-arm orthodox,India
94,447,P Prasanth,1985-05-22,Left-hand bat,Slow left-arm orthodox,India
95,314,Ankit Sharma,1991-04-20,Left-hand bat,Slow left-arm orthodox,India
96,108,S Vidyut,1981-03-12,Left-hand bat,Slow left-arm orthodox,India
97,322,P Negi,1993-06-01,Left-hand bat,Slow left-arm orthodox,India
98,186,SB Jakati,1980-11-27,Left-hand bat,Slow left-arm orthodox,India
99,181,KP Appanna,1988-12-20,Right-hand bat,Slow left-arm orthodox,India
100,326,V Pratap Singh,1992-03-05,Right-hand bat,Right-arm medium,India
101,183,NV Ojha,1983-07-20,Right-hand bat,Right-arm medium,India
102,16,SB Joshi,1970-06-06,Left-hand bat,Slow left-arm orthodox,India
103,27,Yuvraj Singh,1981-12-12,Left-hand bat,Slow left-arm orthodox,India
104,140,Iqbal Abdulla,1989-02-12,Left-hand bat,Slow left-arm orthodox,India
105,131,PP Ojha,1986-05-09,Left-hand bat,Slow left-arm orthodox,India
106,20,MS Dhoni,1981-07-07,Right-hand bat,Right-arm medium,India
107,325,A Ashish Reddy,1991-02-24,Right-hand bat,Right-arm medium,India
108,319,N Saini,1988-10-28,Right-hand bat,Right-arm medium,India
109,317,RR Bhatkal,1985-01-09,Right-hand bat,Right-arm medium,India
110,365,UA Birla,1989-11-17,Right-hand bat,Right-arm medium,India
111,311,HV Patel,1990-11-23,Right-hand bat,Right-arm medium,India
112,364,MM Sharma,1988-09-18,Right-hand bat,Right-arm medium,India
113,200,SS Shaikh,1987-01-18,Right-hand bat,Right-arm medium,India
114,205,Anirudh Singh,1980-02-08,Left-hand bat,Right-arm medium,India
115,206,Jaskaran Singh,1989-04-09,Right-hand bat,Right-arm medium,India
116,207,AP Tare,1987-07-11,Right-hand bat,Right-arm medium,India
117,209,R Sathish,1981-01-14,Right-hand bat,Right-arm medium,India
118,214,MS Bisla,1984-12-27,Right-hand bat,Right-arm medium,India
119,114,YV Takawale,1984-05-11,Right-hand bat,Right-arm medium,India
120,218,S Tyagi,1987-09-17,Right-hand bat,Right-arm medium,India
121,300,Y Gnaneswara Rao,1984-08-25,Right-hand bat,Right-arm medium,India
122,299,B Kumar,1990-05-02,Right-hand bat,Right-arm medium,India
123,1,SC Ganguly,1972-08-07,Left-hand bat,Right-arm medium,India
124,287,Harpreet Singh,1991-11-08,Left-hand bat,Right-arm medium,India
125,466,P Dharmani,1974-09-27,Right-hand bat,Right-arm medium,India
126,226,S Narwal,1982-04-16,Left-hand bat,Right-arm medium,India
127,229,FY Fazal,1985-07-09,Left-hand bat,Right-arm medium,India
128,468,KH Devdhar,1989-12-14,Right-hand bat,Right-arm medium,India
129,236,Mandeep Singh,1991-12-18,Right-hand bat,Right-arm medium,India
130,277,DH Yagnik,1983-06-22,Left-hand bat,Right-arm medium,India
131,120,MS Gony,1984-04-01,Right-hand bat,Right-arm medium,India
132,360,CM Gautam,1986-08-03,Right-hand bat,Right-arm medium,India
133,123,DT Patil,1984-06-12,Right-hand bat,Right-arm medium,India
134,243,VS Malik,1983-09-05,Right-hand bat,Right-arm medium,India
135,244,A Mithun,1989-10-25,Right-hand bat,Right-arm medium,India
136,247,RS Sodhi,1980-10-18,Right-hand bat,Right-arm medium,India
137,261,AUK Pathan,1984-06-17,Right-hand bat,Right-arm medium,India
138,260,MA Agarwal,1991-02-16,Right-hand bat,Right-arm medium,India
139,251,C Madan,1982-10-15,Right-hand bat,Right-arm medium,India
140,252,AG Paunikar,1988-04-18,Right-hand bat,Right-arm medium,India
141,359,IC Pandey,1989-08-15,Right-hand bat,Right-arm medium,India
142,259,RV Gomez,1985-10-16,Right-hand bat,Right-arm medium,India
143,255,STR Binny,1984-03-06,Right-hand bat,Right-arm medium,India
144,448,SS Mundhe,1988-10-27,Right-hand bat,Right-arm medium,India
145,446,Anand Rajan,1987-04-17,Right-hand bat,Right-arm medium,India
146,30,T Kohli,1988-12-17,Right-hand bat,Right-arm medium,India
147,443,C Ganapathy,1981-10-06,Right-hand bat,Right-arm medium,India
148,36,M Rawat,1985-10-25,Right-hand bat,Right-arm medium,India
149,441,SS Sarkar,1984-12-15,Right-hand bat,Right-arm medium,India
150,439,AM Salvi,1981-10-20,Right-hand bat,Right-arm medium,India
151,39,SK Trivedi,1982-04-09,Right-hand bat,Right-arm medium,India
152,435,P Amarnath,1982-01-06,Right-hand bat,Right-arm medium,India
153,125,S Anirudha,1987-04-14,Right-hand bat,Right-arm medium,India
154,433,ER Dwivedi,1988-07-22,Right-hand bat,Right-arm medium,India
155,46,RV Uthappa,1985-11-11,Right-hand bat,Right-arm medium,India
156,47,PR Shah,1987-03-11,Right-hand bat,Right-arm medium,India
157,48,AM Nayar,1983-08-10,Left-hand bat,Right-arm medium,India
158,453,P Suyal,1989-10-15,Right-hand bat,Left-arm medium,India
159,62,WP Saha,1984-10-24,Right-hand bat,Right-arm medium,India
160,63,LR Shukla,1981-06-05,Right-hand bat,Right-arm medium,India
161,346,JD Unadkat,1991-10-18,Right-hand bat,Left-arm medium,India
162,420,RR Pant,1997-04-10,Left-hand bat,Right-arm medium,India
163,68,WA Mota,1981-09-20,Right-hand bat,Right-arm medium,India
164,296,VR Aaron,1989-10-29,Right-hand bat,Right-arm fast,India
165,419,NS Naik,1994-09-11,Right-hand bat,Right-arm medium,India
166,72,MA Khote,1980-04-22,Right-hand bat,Right-arm medium,India
167,410,Ishan Kishan,1998-07-18,Left-hand bat,Right-arm medium,India
168,354,KL Rahul,1992-04-18,Right-hand bat,Right-arm medium,India
169,79,SS Tiwary,1989-12-30,Left-hand bat,Right-arm medium,India
170,80,DS Kulkarni,1988-10-12,Right-hand bat,Right-arm medium,India
171,81,R Vinay Kumar,1984-12-02,Right-hand bat,Right-arm medium,India
172,406,SN Thakur,1991-10-16,Right-hand bat,Right-arm medium,India
173,404,DJ Muthuswami,1981-09-03,Right-hand bat,Right-arm medium,India
174,8,V Kohli,1988-05-11,Right-hand bat,Right-arm medium,India
175,85,AM Rahane,1988-06-06,Right-hand bat,Right-arm medium,India
176,399,RG More,1992-02-02,Right-hand bat,Right-arm medium,India
177,88,KD Karthik,1985-01-06,Right-hand bat,Right-arm medium,India
178,395,Anureet Singh,1988-02-03,Right-hand bat,Right-arm medium,India
179,92,TM Srivastava,1989-07-11,Left-hand bat,Right-arm medium,India
180,93,B Chipli,1983-01-27,Right-hand bat,Right-arm medium,India
181,96,MK Pandey,1989-10-09,Right-hand bat,Right-arm medium,India
182,132,SP Goswami,1989-05-18,Left-hand bat,Right-arm medium,India
183,375,JJ Bumrah,1993-06-12,Right-hand bat,Right-arm medium,India
184,231,MD Mishra,1984-09-02,Right-hand bat,Right-arm offbreak,India
185,450,TP Sudhindra,1984-04-24,Left-hand bat,Right-arm fast,India
186,82,AB Agarkar,1977-04-12,Right-hand bat,Right-arm fast,India
187,235,R Sharma,1987-04-30,Right-hand bat,Right-arm offbreak,India
188,171,M Manhas,1979-12-10,Right-hand bat,Right-arm offbreak,India
189,237,KM Jadhav,1985-03-26,Right-hand bat,Right-arm offbreak,India
190,67,PP Chawla,1988-12-24,Left-hand bat,Legbreak,India
191,390,R Tewatia,1993-05-20,Left-hand bat,Legbreak,India
192,134,U Kaul,1987-02-12,Left-hand bat,Right-arm medium,India
193,331,PA Reddy,1991-11-02,Right-hand bat,Legbreak,India
194,136,A Mishra,1982-11-24,Right-hand bat,Legbreak,India
195,269,R Ninan,1985-11-19,Right-hand bat,Right-arm offbreak,India
196,23,S Badrinath,1980-08-30,Right-hand bat,Right-arm offbreak,India
197,262,UBT Chand,1993-03-26,Right-hand bat,Right-arm offbreak,India
198,394,DJ Hooda,1995-04-19,Right-hand bat,Right-arm offbreak,India
199,384,VH Zol,1994-11-23,Left-hand bat,Right-arm offbreak,India
200,329,Gurkeerat Singh,1990-06-29,Right-hand bat,Right-arm offbreak,India
201,381,Shivam Sharma,1993-09-09,Right-hand bat,Right-arm offbreak,India
202,178,TL Suman,1983-12-15,Right-hand bat,Right-arm offbreak,India
203,208,AT Rayudu,1985-09-23,Right-hand bat,Right-arm offbreak,India
204,101,SA Asnodkar,1984-03-29,Right-hand bat,Right-arm offbreak,India
205,24,K Goel,1986-12-24,Left-hand bat,Right-arm offbreak,India
206,31,YK Pathan,1982-11-17,Right-hand bat,Right-arm offbreak,India
207,222,S Ladda,1986-10-07,Right-hand bat,Legbreak,India
208,33,M Kaif,1980-01-12,Right-hand bat,Right-arm offbreak,India
209,444,MB Parmar,1988-12-04,Right-hand bat,Right-arm offbreak,India
210,14,P Kumar,1986-02-10,Right-hand bat,Right-arm medium,India
211,148,SD Chitnis,1987-06-05,Right-hand bat,Right-arm offbreak,India
212,369,Sachin Baby,1988-12-18,Left-hand bat,Right-arm offbreak,India
213,199,Y Nagar,1990-06-01,Right-hand bat,Right-arm offbreak,India
214,150,VS Yeligati,1985-04-23,Right-hand bat,Right-arm offbreak,India
215,227,AB Barath,1990-04-14,Right-hand bat,Right-arm offbreak,India
216,41,V Sehwag,1978-10-20,Right-hand bat,Right-arm offbreak,India
217,42,S Dhawan,1985-05-12,Left-hand bat,Right-arm offbreak,India
218,201,R Ashwin,1986-09-17,Right-hand bat,Right-arm offbreak,India
219,366,Parvez Rasool,1989-02-13,Right-hand bat,Right-arm offbreak,India
220,153,RR Powar,1978-05-20,Right-hand bat,Right-arm offbreak,India
221,212,P Dogra,1984-11-19,Right-hand bat,Legbreak,India
222,185,M Vijay,1984-01-04,Right-hand bat,Right-arm offbreak,India
223,6,R Dravid,1973-11-01,Right-hand bat,Right-arm offbreak,India
224,50,Harbhajan Singh,1980-03-07,Right-hand bat,Right-arm offbreak,India
225,431,N Rana,1993-12-27,Left-hand bat,Right-arm offbreak,India
226,138,NK Patel,1981-03-26,Left-hand bat,Right-arm medium,India
227,54,Y Venugopal Rao,1982-02-26,Right-hand bat,Right-arm offbreak,India
228,55,VVS Laxman,1974-01-11,Right-hand bat,Right-arm offbreak,India
229,294,P Parameswaran,1985-05-30,Right-hand bat,Left-arm medium,India
230,57,RG Sharma,1987-04-30,Right-hand bat,Right-arm offbreak,India
231,361,X Thalaivan Sargunam,1985-05-15,Right-hand bat,Right-arm offbreak,India
232,308,SA Yadav,1990-09-14,Right-hand bat,Right-arm offbreak,India
233,425,J Yadav,1990-01-22,Right-hand bat,Right-arm offbreak,India
234,340,GH Vihari,1993-10-13,Right-hand bat,Right-arm offbreak,India
235,203,CA Pujara,1988-01-25,Right-hand bat,Legbreak,India
236,37,D Salunkhe,1982-12-11,Right-hand bat,Legbreak,India
237,193,C Nanda,1979-03-29,Right-hand bat,Legbreak,India
238,21,SK Raina,1986-11-27,Left-hand bat,Right-arm offbreak,India
239,339,KK Nair,1991-06-12,Right-hand bat,Right-arm offbreak,India
240,338,MC Juneja,1990-12-09,Right-hand bat,Right-arm offbreak,India
241,142,PM Sarvesh Kumar,1989-04-26,Right-hand bat,Right-arm medium,India
242,337,Sunny Gupta,1988-09-27,Right-hand bat,Right-arm offbreak,India
243,128,A Chopra,1977-09-19,Right-hand bat,Right-arm offbreak,India
244,211,AA Jhunjhunwala,1982-01-12,Right-hand bat,Right-arm offbreak,India
245,7,W Jaffer,1978-02-16,Right-hand bat,Right-arm offbreak,India
246,130,J Arunkumar,1975-01-18,Right-hand bat,Right-arm offbreak,India
247,143,DP Vijaykumar,1986-10-20,Right-hand bat,Right-arm medium,India
248,335,A Chandila,1983-05-12,Right-hand bat,Right-arm offbreak,India
249,133,SR Tendulkar,1973-04-24,Right-hand bat,Right-arm offbreak,India
250,40,G Gambhir,1981-10-14,Left-hand bat,Legbreak,India
251,351,SV Samson,1994-11-11,Right-hand bat,Right-arm medium,India
252,345,M Vohra,1993-07-18,Right-hand bat,Right-arm medium,India
253,77,S Sreesanth,1983-06-02,Right-hand bat,Right-arm fast-medium,India
254,84,I Sharma,1988-02-09,Right-hand bat,Right-arm fast-medium,India
255,90,MF Maharoof,1984-07-09,Right-hand bat,Right-arm fast-medium,India
256,388,S Gopal,1993-04-09,Right-hand bat,Legbreak,India
257,115,RR Raje,1986-03-09,Right-hand bat,Right-arm fast-medium,India
258,146,H Das,1986-10-12,Right-hand bat,Right-arm medium,India
259,119,Joginder Sharma,1983-10-23,Right-hand bat,Right-arm fast-medium,India
260,370,PV Tambe,1971-08-10,Right-hand bat,Legbreak,India
261,65,S Sohal,1987-10-11,Right-hand bat,Legbreak,India
262,177,RE van der Merwe,1984-12-31,Right-hand bat,Slow left-arm orthodox,South Africa
263,401,D Wiese,1985-05-18,Right-hand bat,Right-arm medium-fast,South Africa
264,380,RR Rossouw,1989-09-10,Left-hand bat,Right-arm offbreak,South Africa
265,233,J Theron,1985-07-24,Right-hand bat,Right-arm medium-fast,South Africa
266,389,M de Lange,1990-10-13,Right-hand bat,Right-arm fast,South Africa
267,427,HM Amla,1983-03-31,Right-hand bat,Right-arm offbreak,South Africa
268,217,JM Kemp,1977-02-10,Right-hand bat,Right-arm fast-medium,South Africa
269,263,DJ Jacobs,1982-04-11,Right-hand bat,Right-arm medium,South Africa
270,303,F du Plessis,1984-07-13,Right-hand bat,Legbreak,South Africa
271,49,SM Pollock,1973-07-16,Right-hand bat,Right-arm fast-medium,South Africa
272,158,KP Pietersen,1980-06-27,Right-hand bat,Right-arm offbreak,South Africa
273,320,DA Miller,1989-10-06,Left-hand bat,Right-arm offbreak,South Africa
274,323,RJ Peterson,1979-04-08,Left-hand bat,Slow left-arm orthodox,South Africa
275,267,WD Parnell,1989-07-30,Left-hand bat,Left-arm medium-fast,South Africa
276,416,KJ Abbott,1987-06-18,Right-hand bat,Right-arm fast-medium,South Africa
277,428,F Behardien,1983-09-10,Right-hand bat,Right-arm fast-medium,South Africa
278,176,MN van Wyk,1979-03-20,Right-hand bat,Slow left-arm orthodox,South Africa
279,463,T Shamsi,1990-02-18,Right-hand bat,Slow left-arm chinaman,South Africa
280,109,JA Morkel,1981-10-06,Left-hand bat,Right-arm medium-fast,South Africa
281,438,A Nel,1977-07-15,Right-hand bat,Right-arm fast-medium,South Africa
282,122,M Ntini,1977-06-07,Right-hand bat,Right-arm fast,South Africa
283,292,CA Ingram,1985-03-07,Left-hand bat,Legbreak,South Africa
284,74,GC Smith,1981-01-02,Left-hand bat,Right-arm offbreak,South Africa
285,355,Q de Kock,1992-12-17,Left-hand bat,Right-arm medium,South Africa
286,154,JP Duminy,1984-04-14,Left-hand bat,Right-arm offbreak,South Africa
287,159,T Henderson,1974-01-08,Right-hand bat,Right-arm fast-medium,South Africa
288,304,RE Levi,1988-01-14,Right-hand bat,Right-arm medium,South Africa
289,97,HH Gibbs,1974-02-23,Right-hand bat,Right-arm bowler,South Africa
290,268,JJ van der Wath,1978-10-01,Right-hand bat,Right-arm medium-fast,South Africa
291,11,MV Boucher,1976-03-12,Right-hand bat,Right-arm medium,South Africa
292,189,D du Preez,1981-08-11,Right-hand bat,Right-arm fast-medium,South Africa
293,387,BE Hendricks,1990-08-06,Left-hand bat,Left-arm fast-medium,South Africa
294,94,DW Steyn,1983-06-27,Right-hand bat,Right-arm fast,South Africa
295,110,AB de Villiers,1984-02-17,Right-hand bat,Right-arm medium,South Africa
296,350,CH Morris,1987-04-30,Right-hand bat,Right-arm fast-medium,South Africa
297,192,J Botha,1982-02-05,Right-hand bat,Right-arm offbreak,South Africa
298,210,R McLaren,1983-09-02,Left-hand bat,Right-arm medium-fast,South Africa
299,190,M Morkel,1984-06-10,Left-hand bat,Right-arm fast,South Africa
300,9,JH Kallis,1975-10-16,Right-hand bat,Right-arm fast-medium,South Africa
301,275,JEC Franklin,1980-07-11,Left-hand bat,Left-arm medium,New Zealand
302,403,MJ McClenaghan,1986-11-06,Left-hand bat,Left-arm fast-medium,New Zealand
303,58,SB Styris,1975-10-07,Right-hand bat,Right-arm medium,New Zealand
304,312,DAJ Bracewell,1990-09-28,Right-hand bat,Right-arm fast-medium,New Zealand
305,396,KS Williamson,1990-08-08,Right-hand bat,Right-arm offbreak,New Zealand
306,157,JD Ryder,1984-06-08,Left-hand bat,Right-arm medium,New Zealand
307,377,TG Southee,1988-11-12,Right-hand bat,Right-arm medium-fast,New Zealand
308,458,TA Boult,1989-07-22,Right-hand bat,Left-arm fast-medium,New Zealand
309,220,SE Bond,1975-07-06,Right-hand bat,Right-arm fast,New Zealand
310,415,MJ Guptill,1986-09-30,Right-hand bat,Right-arm offbreak,New Zealand
311,282,JE Taylor,1984-06-22,Right-hand bat,Right-arm fast,New Zealand
312,411,C Munro,1987-11-03,Left-hand bat,Right-arm medium-fast,New Zealand
313,372,CJ Anderson,1990-12-13,Left-hand bat,Left-arm medium-fast,New Zealand
314,2,BB McCullum,1981-09-27,Right-hand bat,Right-arm medium,New Zealand
315,175,DL Vettori,1979-01-27,Left-hand bat,Slow left-arm orthodox,New Zealand
316,397,SA Abbott,1992-02-29,Right-hand bat,Right-arm fast-medium,New Zealand
317,107,SP Fleming,1973-01-04,Left-hand bat,Right-arm medium,New Zealand
318,22,JDP Oram,1978-07-28,Left-hand bat,Right-arm fast-medium,New Zealand
319,52,LRPL Taylor,1984-08-03,Right-hand bat,Right-arm offbreak,New Zealand
320,376,JDS Neesham,1990-09-17,Left-hand bat,Right-arm medium,New Zealand
321,461,AF Milne,1992-04-13,Right-hand bat,Right-arm fast,New Zealand
322,281,NL McCullum,1980-01-09,Right-hand bat,Right-arm offbreak,New Zealand
323,357,MG Johnson,1981-02-11,Left-hand bat,Left-arm fast,Australia
324,3,RT Ponting,1974-12-19,Right-hand bat,Right-arm medium,Australia
325,353,BJ Rohrer,1981-03-26,Left-hand bat,Right-arm medium,Australia
326,18,ML Hayden,1971-10-29,Left-hand bat,Right-arm medium,Australia
327,168,RJ Quiney,1982-08-20,Left-hand bat,Right-arm medium,Australia
328,19,MEK Hussey,1975-05-27,Left-hand bat,Right-arm medium,Australia
329,313,DJ Harris,1979-12-31,Right-hand bat,Right-arm medium,Australia
330,197,GJ Bailey,1982-07-09,Right-hand bat,Right-arm medium,Australia
331,25,JR Hopes,1978-10-24,Right-hand bat,Right-arm medium,Australia
332,295,CJ Ferguson,1984-11-21,Right-hand bat,Right-arm medium,Australia
333,288,M Klinger,1980-04-07,Right-hand bat,Right-arm medium,Australia
334,225,DR Martyn,1971-10-21,Right-hand bat,Right-arm medium,Australia
335,279,BJ Haddin,1977-10-23,Right-hand bat,Right-arm medium,Australia
336,272,TD Paine,1984-08-12,Right-hand bat,Right-arm medium,Australia
337,271,MS Wade,1987-12-26,Left-hand bat,Right-arm medium,Australia
338,454,MG Neser,1990-03-29,Right-hand bat,Right-arm medium,Australia
339,253,MR Marsh,1991-10-20,Right-hand bat,Right-arm medium,Australia
340,43,L Ronchi,1981-04-23,Right-hand bat,Right-arm medium,Australia
341,45,DJ Thornely,1978-01-10,Right-hand bat,Right-arm medium,Australia
342,426,UT Khawaja,1986-12-18,Left-hand bat,Right-arm medium,Australia
343,423,PSP Handscomb,1991-04-26,Right-hand bat,Right-arm medium,Australia
344,409,MP Stoinis,1989-08-16,Right-hand bat,Right-arm medium,Australia
345,379,BR Dunk,1987-11-03,Left-hand bat,Right-arm medium,Australia
346,139,LA Pomersbach,1984-09-28,Left-hand bat,Right-arm offbreak,Australia
347,305,GJ Maxwell,1988-10-14,Right-hand bat,Right-arm offbreak,Australia
348,104,BJ Hodge,1974-12-29,Right-hand bat,Right-arm offbreak,Australia
349,53,AC Gilchrist,1971-11-14,Left-hand bat,Right-arm offbreak,Australia
350,56,A Symonds,1975-09-06,Right-hand bat,Right-arm offbreak,Australia
351,417,TM Head,1993-12-29,Left-hand bat,Right-arm offbreak,Australia
352,4,DJ Hussey,1977-07-15,Right-hand bat,Right-arm offbreak,Australia
353,13,AA Noffke,1977-04-30,Right-hand bat,Right-arm fast-medium,Australia
354,32,SR Watson,1981-06-17,Right-hand bat,Right-arm fast-medium,Australia
355,118,GD McGrath,1970-09-02,Right-hand bat,Right-arm fast-medium,Australia
356,163,MC Henriques,1987-01-02,Right-hand bat,Right-arm fast-medium,Australia
357,184,SM Harwood,1974-01-03,Right-hand bat,Right-arm fast-medium,Australia
358,198,AB McDonald,1981-05-06,Right-hand bat,Right-arm fast-medium,Australia
359,258,DT Christian,1983-04-05,Right-hand bat,Right-arm fast-medium,Australia
360,265,NJ Rimmington,1982-11-11,Right-hand bat,Right-arm fast-medium,Australia
361,318,CJ McKay,1983-02-20,Right-hand bat,Right-arm fast-medium,Australia
362,343,B Laughlin,1982-03-10,Right-hand bat,Right-arm fast-medium,Australia
